Tipo de residuo;Comunidades y Ciudades Autónomas;Periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2021;16854362
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2020;16452778
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2019;17034229
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2018;17611068
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2017;17457709
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2016;17141367
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2015;17106176
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2014;16886941
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2013;17320704
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2012;17911466
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2011;18291848
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;2010;18808667
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2021;3921264
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2020;3792794
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2019;3571331
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2018;3755593
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2017;3493910
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2016;3545590
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2015;3479079
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2014;3437380
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2013;3825590
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2012;4134974
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2011;3796057
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);01 Andalucía;2010;4213174
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2021;454672
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2020;450797
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2019;464876
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2018;475448
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2017;470023
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2016;454709
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2015;449639
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2014;444074
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2013;440763
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2012;459778
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2011;487574
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);02 Aragón;2010;479442
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);03 Principado de Asturias;2021;387187
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);03 Principado de Asturias;2020;360808
